story_era_id,sequence_order,event_id,event_role,parent_event_id,connector_label,display_title,year_start,year_label,category,importance_score,period_id,period_name,broad_era,people,locations,historical_status,summary
S07,12,E0339,turning_point,E0233,turns toward next era,The Vietnam War ends with the Fall of Saigon,1975,1975,Military,5,P026,"Partition, North/South Vietnam, and Vietnam War",Cold War / national division,,North Vietnam; South Vietnam; Gia Định; Saigon; Xá Lợi Pagoda,Historical periodization,"The Vietnam War ends with the Fall of Saigon: The Vietnam War concludes as Communist forces from North Vietnam take Saigon, resulting in mass evacuation of the remaining American troops and South Vietnam civilians. As the capital is taken, South Vietnam surrenders unconditionally and is replaced with the temporary Provisional Government."
S08,1,E0460,era_anchor,,sets up,Khmer Rouge attacks on Phú Quốc and Thổ Chu,1975,1975,Military,4,P027,Reunified Socialist Republic and postwar conflicts,Postwar socialist state,,Phú Quốc;Thổ Chu,Historical periodization,Khmer Rouge forces attacked Phú Quốc and Thổ Chu in May 1975.
S08,2,E0461,connected_event,E0460,connects to,Vietnamese border conflicts with Khmer Rouge escalated,1975,1975,Military,4,P027,Reunified Socialist Republic and postwar conflicts,Postwar socialist state,,Cambodia;South Vietnam,Historical periodization,Border conflicts with the Khmer Rouge escalated from 1975 to 1978 before Vietnam's counteroffensive.
S08,3,E0342,major_event,E0461,leads to,National Assembly proclaims unification of the country as the Socialist Republic of Vietnam,1976,1976,Politics,5,P027,Reunified Socialist Republic and postwar conflicts,Postwar socialist state,,South Vietnam,Historical periodization,The National Assembly proclaims unification of the country as the Socialist Republic of Vietnam.
S08,4,E0458,major_event,E0342,leads to,1976 national election unified state institutions,1976,1976,Politics,5,P027,Reunified Socialist Republic and postwar conflicts,Postwar socialist state,,North Vietnam;South Vietnam,Historical periodization,"On 25 April 1976, North and South Vietnam held an election to unify state institutions before the proclamation of the Socialist Republic of Vietnam."
S08,5,E0344,major_event,E0458,leads to,Admittance to United Nations,1977,1977,Diplomacy,5,P027,Reunified Socialist Republic and postwar conflicts,Postwar socialist state,,,Historical periodization,Admittance to United Nations.
S08,6,E0459,connected_event,E0344,connects to,Postwar boat people migration increased,1978,1978,Society,4,P027,Reunified Socialist Republic and postwar conflicts,Postwar socialist state,,Ho Chi Minh City;South Vietnam,Historical periodization,"From 1978, economic hardship, conflict and the Hoa kiều crisis contributed to a wave of people leaving Vietnam by sea or overland."
S08,7,E0462,major_event,E0459,leads to,Vietnamese forces entered Phnom Penh,1979,1979,Military,5,P027,Reunified Socialist Republic and postwar conflicts,Postwar socialist state,,Cambodia,Historical periodization,Vietnamese forces entered Phnom Penh on 7 January 1979 and drove out the Khmer Rouge government.
S08,8,E0362,major_event,E0462,leads to,Admittance to ASEAN,1995,1995,Diplomacy,5,P028,Đổi Mới and international integration,Reform era,,,Historical periodization,Admittance to ASEAN.
S08,9,E0468,major_event,E0362,leads to,Vietnam normalized relations with the United States,1995,1995,Diplomacy,5,P028,Đổi Mới and international integration,Reform era,,Vietnam,Historical periodization,"Vietnam normalized relations with the United States in 1995, the same year it joined ASEAN."
S08,10,E0369,turning_point,E0468,turns toward next era,Admittance to World Trade Organization,2007,2007,Diplomacy,5,P029,Contemporary Vietnam,Contemporary period,,,Recent entries need external verification before publication,Admittance to World Trade Organization.
